start	end	text
0	9800	Testing, testing. Attention, please. Attention, attention. Hear you, hear you.
9800	17040	Skyrim belongs to the North. That's my hear you, hear you. Why are you saying I
17040	22840	hate you? I'm not even freaking spawning yet! Let me spawn in! You know, I learned
22840	28000	something new yesterday thanks to TikTok so I can't wait to talk about it.
28000	39320	Right, testing. This is Ambroker. See, this freaking, you freaking freaks. Oh my
39320	47320	god! Oh my god! I'm YouTube, I got accepted from YouTube monetization like
47320	53120	right now! No way! I just got accepted for YouTube monetization right freaking
53120	61760	now! No way! Wait, but I need to do my stream then! Wait! Oh my god! I literally
61760	69920	just opened up YouTube studio! I've been accepted! No way! Wait, do I need to go off
69920	79200	lane and do my... No, I'll do it tomorrow. Oh my god! We did it! What the frick? What's
79200	85080	the frick? Fractally tech? Tic-tac? Petty work? Oh my god! Wait, and hopefully this
85080	92360	doesn't say anything. Wow! Wow! I just freaking checked! Right, right. We're still
92360	97080	gonna do Skyrim today because you know, Skyrim belongs to the Norths. But what? Tomorrow I'll
97080	102760	get to do my monetization celebration stream! And my toes look amazing for it so I'm
102760	109320	excited! Oh my god! That's amazing! Right, if you're freaking watching right now,
109320	114440	don't worry. Like the how you call it. The memberships aren't like activated
114440	118240	because I need to like go in and tell it like what to call the tiers and stuff.
118240	126240	But I'm like 100% sure tier one is $1.99 USD. This is to prevent anyone
126240	131720	gaining access via gift to membership streams. And then I believe the the
131760	142760	membership price, like the actual price, is $4.99 USD. Does that sound right? I need to ask you guys!
142760	151080	I need to ask you guys what sounds right. You guys call the shots. Yeah, if it's $4.99
151080	156840	and then Patreon's $5 then it's $9.99 total to support your Oshii at Veiler.
157320	161720	You okay? That seems right. Okay, that sounds okay. Everyone's gonna give me the thumbs up.
161720	163320	Ahhhh!
163320	168680	Congrats on the monetization. Doesn't mean we won't support you in other ways anymore though.
168680	172000	Oh, thank you so much. I really miss you.
172000	173000	WAH!
173000	176000	Congrats. I'm happy for you.
176000	182600	Why are you giving me money for getting more money? What the fuck? It's an infinite money glitch.
183240	191800	Oh my god. Also, there was an offline donation by Shank. Shank says, thank you for the tip,
191800	195960	by the way, he says, I'm over here squiddin' my dick. I got ink on my dick right now.
196520	202920	Which is so good. Thank you, Tim Schottel. Congrats on the monetization. Thank you!
202920	208920	And Bajinga as well. Thank you again for the tip. For the 20. That was a big tip. Thank you.
209240	217000	Okay. To prevent gifts, you need to set the membership quote above five bucks. Are you serious?
218120	222120	Wait, wait, wait, wait. Wasn't it not membership can only be gifted?
222120	222760	Stop giving me!
223720	225320	He's confusing the couple things.
225320	230600	Then why are you giving me money for being able to make, oh my god, no! I have to end up
230600	235960	my ASMR series now. I have four ASMR videos. I owe you.
236680	242840	Oh, and I'm doing an endurance stream today. It's over. Reluctantly saying thank you for the tip.
243960	251000	Wait, I could have sworn you can only gift the lowest tier membership on YouTube,
251000	256120	or has that been updated since? I won't say who so they can announce it themselves,
256120	261560	but someone else has also gotten monetized. Oh my god, we're all done or monetized?
261560	267400	No way. Like, okay. So the only reason we didn't like get monetized faster in quotation marks
267400	270680	is because you, stop it! Don't give me money! Forget money!
272840	278680	Pre-ordering my search. Thank you. Don't stay down for the tip. That's crazy.
279960	285480	That's freaking crazy. Gifts go to the most expensive tier under five bucks.
285480	290280	So I need to set it as 501. That looks terrible though. That looks so greedy.
291640	295640	But I can't have any outsiders in the membership streams because
295640	300040	I need to use a lot of euphemisms. Are you squiddling right now?
300040	304680	Shank! Oh, it's off-link! I'm in front of the Blackwater. I'm all about stron of the bath.
306040	311960	Thanks, Shank, for the tip. You guys will get the Blackwater reference very shortly. Super training,
312520	320840	Virginia! Stop! Actually, one cent greed law. Actually, it's two cent greed because I wanted it
320840	327800	4.99. It's said it to... No, six dollars is too much. This is too much money to ask for,
327800	336280	like, for membership stuff. Oh, right, that's it. When I said we're making an agency together,
336920	342840	I wasn't kidding. Oh, I see. And our snowberries are here. They just did an ASMR stream. We all
342840	350520	have to keep our voices down, okay? The snowberries are asleep. Fine, you've got it. Set it to 999.
350520	354600	I would start at 60 bucks just to be sure. Post up, are you?
356280	363400	And hi, Icy Raiders. Hi, snowberries. I just unlocked monetization. I didn't know
