start	end	text
0	9800	Testing, testing. Attention, please. Attention, attention. Hear you, hear you.
9800	17000	Skyrim belongs to the North. That's my hear you, hear you. Why are you saying I
17000	22840	hate you? I'm not even fricking spawning yet! Let me spawn in! You know, I learned
22840	28000	something new yesterday thanks to TikTok so I can't wait to talk about it.
28000	41920	Right, testing. This is Ambroker. See this fricking, you fricking freaks? Oh my God! Oh my
41920	49200	God! I'm YouTube, I got accepted from YouTube monetization like right now. No
49200	55520	way! I just got accepted for YouTube monetization right fricking now. No way!
55520	62560	Wait, but I need to do my stream then. Wait! Oh my God! I literally just opened up
62560	72360	YouTube studio. I've been accepted. No way! Wait, do I need to go offline and do my...
72360	79920	No, I'll do it tomorrow. Oh my God! We did it! What the frick? What the frick frack
79920	86920	tiddly-tack-tick-tack-patty-work? Oh my God! Wait, and hopefully this doesn't say anything.
86920	93120	Wow! Wow! I just fricking checked. Right, right. We're still going to do Skyrim
93120	97680	today because you know, Skyrim belongs to the Norths. But tomorrow I'll get to do my
97680	103360	monetization celebration stream! And my toe is like amazing for it so I'm excited.
103360	109680	Oh my God! That's amazing. Right, if you're fricking watching right now, don't
109680	114720	worry about how you call it. The memberships aren't activated because I
114720	120720	need to go in and tell it what to call the tiers and stuff. But I'm 100%
120720	127240	sure tier one is $1.99 USD. This is to prevent anyone gaining access via
127240	133320	gift to membership streams. And then I believe the membership price, like the
133360	147360	actual price, is $4.99 USD. Does that sound right? I need to ask you guys. I need to ask you guys what sounds right.
147360	155280	You guys call the shots. Yeah, if it's $4.99 USD and then Patreon's $5 USD then it's $9.99 total to
155280	160240	support your Oshii at Veiler. You're okay. That seems right. Okay, that sounds
160280	163480	okay. Everyone's going to give me the thumbs up.
163480	169480	Congrats on the monetization. Doesn't mean we won't support you in other ways anymore though.
169480	172480	Oh, thank you so much. I really appreciate it.
172480	179480	Why are you giving me money for getting more money?
179480	188840	What the fuck? It's an infinite money glitch. Oh my God. Also, there was an offline donation
188880	193840	by Shank. Shank says, thank you for the tip, by the way. He says, I'm over here squidding
193840	200920	my dick. I got ink on my dick right now. Which is so good. Thank you, Tim Shuttle. Congrats
200920	207120	on the monetization. Thank you. And Bajinga as well. Thank you again for the tip, for
207120	214720	the 20. That was a big tip. Thank you. Okay, to prevent gifts, you need to set the membership
214720	220640	quote above five bucks. Are you serious? Wait, wait, wait, wait. Wasn't it not membership
220640	228480	can only be gifted? Stop giving me! Why are you giving me money for being able to make
228480	237480	Oh my God. No, I have to end my ASMR series now. I have four ASMR videos. I owe you. Oh,
237480	242480	and I'm doing an endurance stream today. It's over. Reluctantly saying thank you for the
242520	251020	tip. Wait, I could have sworn you can only gift the lowest tier membership on YouTube
251020	256320	or has that been updated since? I won't say who so they can announce it themselves, but
256320	262600	someone else has also gotten monetized. Oh my God, we're all done are monetized. No way.
262600	267960	Like, okay, so the only reason we didn't like monetize faster in quotation marks is because
267960	276520	you stop it. Don't give me money for getting money. Preordering my search. Thank you. Don't
276520	283320	stay down for the tip. That's crazy. That's freaking crazy. Gifts go to the most expensive
283320	289480	tier under five bucks. So I need to set it as 501. That looks terrible though. That looks
289480	296160	so greedy, but I can't have any outsiders in the membership streams because I need to
296160	303240	use a lot of euphemisms. Are you squid me right now? Shank. Oh, it's offline. I'm all
303240	309920	about stron of the bath. Thanks, Shank, for the tip. You guys will get the Blackwater
309920	318920	reference very shortly. Super training up. Virginia. Stop. Actually, one cent greed law.
318920	325240	Actually, it's two cent greed because I wanted it $4.99 as fat. Said it to sit. No, $6 is
325320	333320	too much. This is too much money to ask for, like, for membership stuff. Oh, right, that's
333320	339120	it. When I said we're making an agency together, we flinched. I wasn't kidding. Oh, I see.
339120	344040	And our snowberries are here. They just did an ASMR stream. We all have to keep our voices
344040	351200	down, okay? The snowberries are asleep. Fine, you've got it. Set it to 999. I would start
351280	362280	at $60 just to be sure. Post up. Hi, icy raiders. Hi, snowberries. I just unlocked monetization.
362280	367920	I didn't know until I freaking went on my channel. It just happened right now. I'm not
367920	373000	going to do my monetization celebration today. I'm going to do it tomorrow and then it gives
373000	377680	me less time to do endurance skyrim unless we come back to maybe switch up the thingy.
377760	384480	But that's okay. It's actually a perfect transition from icy stream. Hi, hi, little icicle.
386480	394640	But yes, we are all getting monetized very slowly, which is fantastic. Oh my gosh, you can get
394640	400800	support via email or chat. Don't worry, that chat support thing does absolutely nothing.
401760	408800	I assure you, it doesn't do a single thing, okay? I actually, I tell a lie, they did help me one
408800	413920	time, so I'll give it up. Amy, thank you, Amy, for your clap, clap, clap. Apparently, there's
413920	418800	one other person that has been processed. When we applied, it was like, yeah, it takes a month
418800	425360	for them to review your chat. A month! A month to review James Cameron's avatar, excuse me.
425360	433440	A month to freaking review Assassin's Creed Brotherhood, excuse me. Oh no, no, oh you guys
433440	442800	so much ASMR video. But I do have some good news about VTuber Collabs. I finally, I finally
445120	452960	sent away. So now I'm waiting on the girls. The ball is now in the girls court that I'm collabing
452960	464720	with. Yeah, yesterday, I was listening to a music creator called Yoast. He's a Dutch and he was in
464720	474560	Eurovision and he said, welcome to Europe. Life is till the end, Europe, Europe, Europe. Turns out he has
474560	483680	a song where it goes, suck my, hmm, hmm, hmm, hmm, hmm, hmm. So just imagine me playing the song and
483680	494080	repeat in the dark, taping up four ASMR collabs in one go. A month review time sounds realistic,
494080	500960	given the fact that your streams are all above 10 hours. Like I also thank you for the tip again,
501040	504720	but you're giving a lot of money. You need to be careful. Are you screaming me right now?
510320	517200	Thank you for the tip. Oh my God. Damn, I almost got that song out of my head. Yeah, so basically
517200	526000	just imagine me in a dark room. Just, I had this song on repeat. I'm like, yeah, okay. Right,
526000	532080	Wolf Mums, Pamper You to Sleep, right? Okay, what's next? Okay, Jealous VTubers drag you in an
532080	538240	alleyway for tangos. Okay, but what's next? What's next? Right, next script now. Like I was on it.
538240	545440	I was on it. Anonymous. It's the silent and on his back. He's giving money, but he's not saying
545440	550960	anything. He's not getting Brian to say anything. Thank you for the tip. But yeah, anyway, that's
551040	556160	how I work. I don't know how you work, but I work like a madman. Had to take a shower. So I've got
556160	562320	to listen at 1.5 speed for the next 15 minutes. I was not prepared for the super speed beat up.
564240	570400	So I was as strong as I forgot to live tweet or tweet. If you mean tweet, I have absolutely
570400	577120	horrific news. I am the worst VTuber to ever spawn. I never use my emotes. I spent like so much on
577120	582240	all these emotes. I never use them. I never tweet out when I'm live, because I start at the same
582240	588960	time every single day and I'm like, you want to be here, you're gonna be here. Somebody,
590160	594640	absolutely. Next script. YouTube to monetize you one day after you get approved. I mean,
594640	599840	depending on how the monetization celebration goes tomorrow, that's quite plausible. But hey,
599840	606320	at least a little bit YouTube history. Don't mind if I make the headlines for Veal Ur. So
606320	611040	you guys go and support my gen mates. That's right. There are five other lovely girls in the
611040	617920	description below for you to check out. If you cannot stand, Todd winning yet again with the
617920	624160	Death Grip, the Skyrim has over female VTubers. Okay. So if you've had enough of that,
624160	630080	Denny, you worry. I've got you sorted out. Sheepsters is going live in two minus two hours.
630080	635600	I believe Emma and Azura, my goodness Azura, and is coming for my Endurance Stream title.
637600	645360	For Goodness Gravy, she was up on a farm. No, it's not called Farmville. The farming star,
645360	649760	Jew Valley, for goodness sake. And then she beady popped out of 10 of her Endurance Stream. I'm
649760	655200	like, damn, they're coming from my title. I'm gonna show them how it's done. Okay, I'm gonna show
655200	660400	them how it's done. I woke up feeling sick and I was like, oh, maybe I would do an Endurance Stream.
660400	665840	But the moment I hit go live, it feels like I have been given a second burst of energy,
665840	670800	a second wind, if you will. It's like that cinematic moment in like the video game
671760	675280	thing. We're like, oh, Brian.
675280	681440	Congrats on monetization. Does the meet and greet VIP pass come with the highest membership tier
681440	690720	pre-order? Zarian. Dapper. Why would you give 100? That's so much. You never even said anything,
690720	699920	Dapper bucket. Oh my God. Thank you for the 100. Iron Reaper 100. Why are you? Why are you giving me
699920	707120	money for being able to earn more money? What's going on? What's going on? Have I missed something
707120	714000	in the VTuber etiquette book? Iron Reaper, thank you for the 100. Dapper, thank you for the 100.
714000	720640	Zarian, congrats on monetization. Meet and greet for anyone who goes over $20 on the donut.
721680	727200	That's terrible. You can't say that part out loud. Literally, everyone is giving your,
727200	733680	yeah, please make sure you are fully sorted before you give any money. Please understand,
733760	742240	I adore what I do. I have been welcomed with open arms into the VTuber community as someone who
742240	747760	could definitely have been described as an outsider. And instead of being shunned,
747760	754000	I was welcomed and taught the ropes, which I'm so thankful for. But please understand,
754000	762160	like, I can stream for free. I love what I do, okay? Anonymous with a 20 with no message again.
762160	768640	Brian, you look, you need to put Brian to work, guys, okay? You need to put Brian to work. Oh,
768640	777760	Anonymous gave me 20 because I said the 20 thing. That is terrible. But we've done it. We
777760	786000	officially have finished our first week at Bueller headquarters. Literally, everyone has done
786000	790800	fantastic streaming. I am very happy to see some of the girls taking a break.
