start	end	text
0	30000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
30000	60000	ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
60000	90000	ლლლლლლლლლლლლლლლლლლლლლლლლ ლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლლ�
90000	94860	ლლლლლლლლლლwives
108940	114440	ლლლლლლლლლლლლლლლლლლ או boi
114440	144440	ᓤዷዬደዺៀ៍ៅៈ។្ៀ៕ ៑ៜៜ៑៘។្៓្៤៎៓្្្្្៘្្្្៤្្៑៕្្្៑្្្្្្្្្្្្្្្្ ៑្្្្ ្្ៈ្្្្្្�
144440	147500	cut
147520	148720	cut
148720	149240	cut
149260	150260	kill
150260	150980	cut
150980	153260	cut
153980	156220	я так generosity
156460	159340	I never played falls x2
159340	160380	ざー
160860	163680	I cannot employee
163700	165980	istol not grittingsờ
166180	169540	absolutely dogs
170740	171040	so I 2
171100	172540	hope carried
172740	173580	you know
173580	188780	Kivol� dostęp exhaust ch nggak nou
188780	190900	ophren� läuft tid
190900	191260	ව ρස Cape violation
191260	192120	freed
192120	192280	වහවි gən dagger
192280	193880	වහවි gàng
193880	194700	වහවි gàng
194700	198040	වසව෉ 합 Meaning
198040	199360	වැශ් already out
199360	199900	這個 me
199900	202480	때도
202480	206060	සටව ͞ාන්ඳවේ්නව ව්ති සඳිල්,වූ඀්බරමා,වේටාහ ැලයා,ටේයකරමා.
206300	209560	viewerාඦෝ෼මීමා,ඹ ලරපාතිවේ
217260	223320	එරතුasureුර් ඀ැබතුරමෙ කරමාත strengths.
223320	225320	ghost
253320	255660	ёёё
255660	256380	sound
256380	257960	electrodes
257960	264320	disappear
264320	269380	Crusader
269380	270000	look
271860	272360	the
272360	272960	name
272960	274320	blocks
274320	282000	three days for hours i don't i can even math right now um yeah this will definitely be fun then
282000	289520	because i just woke up from a nap um i think you just i don't know if you like slept at all so
290560	299360	i woke up two hours ago there you go there you have it i'm drinking a lemonade that has like a shot
299360	306720	of energy in it i believe it's called a berry blast from a local joy so i'm excited excuse me so sorry
306720	313200	excuse me that damn mouse again has gotten in my house it keeps it keeps raising its voice
315760	323600	how many people can be in a lobby i think 60 what the frick is it 60
323600	331040	this excuse me i'm so sorry i'm down for group nap i gotta put it let me get a
331040	336240	sheet i'm like cold i'm gonna take off my sweatshirt because i'm actually sweating
340320	344480	my lower region is hot my upper region is hot
348800	350160	i can't take off my hoodie
353920	359760	oh my god guys i'm stuck maybe i should take off my headphones first hold on a second
360560	363040	is there don't say anything bad my headphones are off
368800	372320	i could hear that from my headphones while they were on my table
372560	385520	all right so hi chat i didn't say hi to you guys i'm sorry
387760	392800	i'm gonna pull your chat open too actually i was just reading it but i didn't say hi i'm sorry
393680	397360	oh yeah i could pull yours up too i know let me grab yours as well
398160	406160	oh no i can see both of you
408400	415120	haha you could do a pop out window like a pop out a pop out you rascally wabbits
417760	423520	wait right am i done um i think i'm done what did you do
427440	429520	well oh here we go i'm i'm okay
433440	443360	we are doing just fine thank you yay now there's two two tracks now there's two mommies
444080	450320	there's two of them look at your this challenge look at them oh no oh my god she's regressing
455840	467280	hi twat hi everybody hi twat hi twat hi hi it's last year favorite um little sisters
467360	473280	i don't want to see me i i i i see me i see me
480240	483120	we should totally hijack i see it every spot
488640	494480	that would be too funny uh we could be cute and funny
497840	503520	all right uh shall we wait for like
505200	512320	how many people uh no as many as as as the kid can get in here since we did kind of tell them
512320	517520	very late that we were gonna play with them that's a good point oh i should tweet that i'm live
519520	525040	oh but yeah oh i forgot to do that too i always forget to tweet that i'm live
527280	534160	and your tweet uh come play with us how we enjoyed uh download the game if you don't have
534160	539920	the game if you don't have room for it on your computer delete something delete it delete it delete
539920	548640	all of that porn off you don't need it we you have us it's fine delete it get that terabyte
548640	554800	right a porn off your computer to download this game please okay let me
560160	565360	live with bello mommy you'll never make me delete my end
578640	588960	she just giggles evilly and i don't know what she's up to yeah she's very nefarious
593760	597200	whatever imagine if imagine if azera was like an evil
597520	601680	like an evil mother like an evil step mom
605040	610320	that sounds like fun oh no i don't like how you said that
612080	616240	that sounds like fun like a lot of fun
616400	617280	fun
620640	625040	sim is dead no i'm dead
629360	633760	it's just the screaming you did and then the oh then i just go quiet
634480	648560	okay i'm gonna say 20 25 people will try to get in
650960	656960	that's the goal a lot of a lot of uh uh some people said they were downloading the game now in my
656960	663040	chat so oh okay then yeah we'll be more than that then maybe pin the message for the code
663120	672240	i was thinking that but like then i gotta start yeah it's gonna get again and like nobody's
