start	end	text
0	2000	You
30000	32000	You
60000	62000	You
90000	92000	You
120000	122000	You
122000	124000	You
124000	153920	So I had to run to go pee pee.
154920	158920	It is good. I am fine.
158920	166920	Yeah you hear me. Can you hear me?
166920	169920	I want more. I want more.
169920	171920	Wait, I have to do the thing here.
171920	174920	I have to do the thing here.
174920	180920	How to do the thing here. I forgot. I forgot.
180920	185920	Wait, wait, wait, wait, wait.
185920	188920	Wait, wait, wait. I got this.
188920	193920	Yes, I am so smart.
193920	199920	Oh my god, I didn't add the thing here.
199920	207920	I forgot. Wait, wait, wait, wait.
207920	210920	I can't believe I forgot to do that.
210920	216920	I do that like every night. Every night before I go to bed.
216920	220920	BAM! Just like, oh my arm.
221920	223920	My arm.
237920	239920	I did it.
239920	244920	My arm.
244920	247920	My arm.
247920	251920	Today was a good day.
251920	257920	I am okay. Let me do a little stretching.
257920	263920	Oh my god.
264920	269920	One.
269920	273920	Hi my little bleeding heart.
273920	276920	I bleed it.
276920	279920	Bleed, bleed, bleed, bleed.
279920	302920	Why is there bread on your booba?
302920	304920	Because I like bread.
304920	306920	YouTube likes bread too.
306920	308920	So I give you two bread.
308920	310920	Bread.
310920	312920	See?
312920	314920	Bread.
314920	316920	Bread.
316920	318920	Bread.
318920	320920	I like bread.
320920	322920	Bread.
322920	324920	Bread.
324920	326920	Bread.
326920	328920	Bread.
328920	330920	Bread.
330920	332920	I like bread.
334920	339920	I am the most professional streamer ever.
339920	341920	What do you mean?
341920	344920	I am so professional.
344920	347920	I am super professional.
358920	362920	Why isn't the chat moving?
362920	365920	But I was scrolled down.
365920	367920	I have to scroll down.
388920	390920	What?
390920	392920	Give me a second.
392920	394920	How does it turn on my light?
394920	396920	Wait.
396920	398920	No.
406920	408920	Alright.
408920	410920	I am fine.
410920	412920	Are you?
412920	414920	Hey.
414920	416920	I am doing okay.
416920	420920	I was celebrating my
420920	424920	being off a bunch of medications,
424920	426920	healing, celebrating.
426920	430920	It was the first time I had a drink in a long time.
430920	432920	It's been almost a year.
432920	436920	Almost a year since I had a drink in the drink.
436920	438920	Drink it.
438920	440920	Drink it.
440920	442920	Drink it.
442920	444920	Drink it.
444920	448920	I had a drink.
454920	456920	The last time I had a drink.
456920	458920	Yeah.
458920	460920	Yeah.
460920	462920	Yeah.
462920	464920	Yeah.
464920	466920	Drink it.
466920	468920	Drink it.
468920	470920	Drink it.
474920	478920	I started drunk.
478920	480920	I am not God.
480920	484920	But I am a goddess.
484920	486920	I am your goddess.
486920	488920	Your goddess.
488920	490920	Azura.
490920	492920	You are amazing goddess.
492920	494920	You love your goddess.
494920	496920	Don't you everyone?
496920	498920	You love your goddess.
498920	500920	Your mommy goddess.
500920	502920	Yeah, yeah, yeah.
504920	517480	I'm a I'm a I'm a light weight I'm a little bit of a light weight it's been so long if
517480	531440	you don't drink for such a long time and you don't drink for such a long time yeah the
531440	542000	effects are a little or a little stronger you know but I'm not drunk because we
542000	548040	got to go to work today we got to go to work
548040	556200	now so it's staying I don't know what to I am about
556200	576380	what did I have I actually have the bottle right here oh my goodness I hit the
577380	585940	I have a bottle right here it's called Green Grape I had Green Grape sold you
585940	601220	I'm sorry to anyone's poor ears let me make it better
602220	606220	much better you feel better
606220	611220	are you better? are you better? sorry I hit you upside your head
614220	618220	is it better? do you feel better? are you better?
631220	640220	seriously congratulations on no longer needing a bunch of months yeah yeah I'm so happy so excited
640220	653220	so happy so happy so excited so happy so excited yeah yeah may I draw you if you okay you could draw me
653220	657220	like one of your French girls
661220	677220	yeah and draw me however you like as long as it's not the bloody the bloody okay
677220	683980	you can draw me freely send me your art I would love to see it use the tags in the
683980	698740	Twitter I feel so old like do you not like drink and get really tired like really sleepy
698740	718500	that is me am I old am I hitting am I am I old I know I'm old
719260	727260	hmm so it's like I finally catch you live I was missing you most of the week does it work
727260	731660	well I hope work has been good for you thus far and I hope you've been able to
731660	739820	watch some of the mods and your free time and no work can be such a bitch but
739820	753820	that's okay you can get through and I believe in you are you okay mama mama's fine
754820	758820	mama's perfectly fine
766820	775820	whatever demons you're fighting through I don't got no demons I'm chilling I'm fine
775820	779820	we're having a good time
780820	784820	do you buy any chance of
