start	end	text
0	17200	I was trying to speedrun up in the stream started and the game.
17200	23680	This game crashes so heckin' easily and it literally just crashed there.
23680	24680	Praying it works.
24680	25680	Praying it works.
25760	26760	Praying it works.
26760	29880	But good morning, good evening, and good afternoon.
29880	30880	Wee today.
30880	34200	My screen is gone black so hopefully I'm still streaming.
34200	37200	Oh my god.
37200	38200	Right.
38200	39200	This game breaks.
39200	42160	Oh, I think it's about to break again.
42160	43160	No way.
43160	46160	Oh, this game breaks so easily.
46160	48880	Oh, don't break, don't break.
48880	51880	Oh, my screen's black again.
51880	52880	What?
52880	58080	Oh, this game breaks so easily.
58080	66080	I think this is like 2007 maybe, but goodness me.
66080	68760	Good morning, good evening, good afternoon.
68760	73360	Wee are playing yet again, surprise surprise, another childhood game.
73360	74360	Wait, what?
74360	75360	Oh, it's 2009.
75360	80200	It says James Cameron's Avatar the game 2009.
80200	90400	So I played this game as a little sheriff and is there a girl that's white with black
90400	101080	hair but, well, not blonde, I'm not, well, we just did that.
101080	106040	Right, we're blonde with green eyes today, yippee.
106040	107040	So this game.
107040	116000	Okay, now it's got enter first name, squiddles, squiddly, I'm feeling a bit squiddly diddly
116000	119720	the day but I bet you'd like that, wouldn't you?
119720	122120	I had no idea they even released the game back then.
122120	132680	Oh, this game is, I, right, I'll shush until the campaign part but they much to the campaign.
132680	134720	Let me, I got slapped together.
134720	135720	Let me tell you that much.
135920	137320	I got slapped together.
141320	142920	Welcome to Pandora.
143920	148320	So, I am a big enthusiast of Avatar.
148320	151720	I absolutely enjoy the movies to the highest of heavens.
157320	159920	Oh my god, I've not played this in years.
160920	165920	Oh, look at us.
165920	167920	Sigourney Weaver.
175920	177920	Big Sigourney Weaver, where'd you been?
177920	179920	We've missed you, Sigourney.
180920	182920	So I got three words for you.
182920	184920	Don't screw up.
184920	185920	Got it.
185920	190920	I like, this is not stood up to the test of time, graphics wise.
190920	192920	My neck be bending.
192920	195920	My armpit textures are warped.
197920	199920	Oh, AC and Snow Berries.
199920	200920	Hi.
200920	202920	How was your puzzle game, AC?
202920	203920	I watched you in the bath.
203920	204920	That's it.
204920	205920	Oh, this is really weird.
205920	210920	I was in the bath and I was like, I'm sure AC should be on right now.
210920	214920	And I opened up the game and you were like, this is a child's game.
214920	215920	How can I do this?
215920	217920	I thought I could do this because I think someone said,
217920	219920	why did you pick this game first?
222920	224920	Snow Berry Raid.
227920	230920	Yeah, there was like a big whale with loads of ropes all over it.
230920	233920	And I was like, I've never seen this game in my life.
233920	234920	I'm too dumb.
234920	235920	Did you not finish it?
235920	236920	Was it like a finished game?
236920	239920	Or was it like one of those ones where it's like, ah, you just played for fun?
241920	242920	Is Sheevee's fault?
242920	244920	Sheevee, what did you do?
244920	246920	She put the ropes in.
246920	247920	Oh, that's very good.
247920	248920	Oh, you finished it.
248920	249920	Let's go.
249920	250920	AC Smart.
250920	251920	AC Smart.
251920	252920	AC Smart.
252920	253920	Hell's gate.
258920	260920	Kendra.
260920	262920	Congrats to your names, Kendra.
263920	266920	Okay, so we are playing an RDA soldier.
266920	267920	Boots on the ground.
267920	270920	We are a signal specialist, okay?
270920	272920	We've just arrived at Hell's Gate,
272920	280920	which is where the humans have landed on the Navi's home planet, basically.
280920	288920	And the way that we humans survive is by sectioning off areas of Pandora,
288920	292920	because Pandora is so aggressive and dangerous.
296920	297920	Wendy, yes.
297920	299920	Shag the big blue ladies.
299920	300920	Soon, soon.
300920	302920	Hold on, hold on.
308920	311920	You've never seen the movie before?
311920	312920	Okay.
312920	313920	Okay.
317920	319920	How do you even summarize Avatar?
326920	332920	This is a very old game, and it is not a fair, like, assessment of what this game's about.
332920	333920	However.
333920	335920	However, however, however.
335920	337920	Too long didn't read, um,
337920	344920	blow people good, humans bad, capitalism bad, being nice to the environment.
344920	345920	Good!
345920	346920	That's it.
346920	347920	That's all you have to know.
347920	349920	That's all you have to know.
349920	353920	You have completely caught up to the Avatar franchise.
353920	355920	Are you squeezing me right now?
355920	356920	Ah!
356920	357920	Bojenga, I'm thinking.
360920	361920	Brian?
362920	367920	Not me getting Brian back on the HUD.
367920	370920	Thank you so much, Bojenga, for the 13, I appreciate it.
370920	374920	I'm looking forward to this stream of this game that literally no one has played.
374920	381920	I wish I could do a poll right now, but if I back out of this game, um, it crashes super easily.
381920	386920	So basically, I don't even know if I'm going for a toilet break today.
386920	388920	I'd like to open a set.
388920	394920	Apparently the campaign mode is eight hours, but I don't believe it.
394920	395920	Yes.
395920	397920	We're at signal specialist.
397920	398920	I didn't even know there was an avatar.
398920	403920	Well, there's a new avatar game now, but we're playing the OG.
403920	405920	Let me take a sip of my honey tea today.
405920	406920	Aloha.
409920	411920	Did you guys watch Mercy's ASMR?
411920	417920	Congrats to Mercy Modis being the only member viewer to not get her VOD taken down
417920	421920	and leave a warning on her channel for sexual misconduct.
421920	423920	Give it up for Mercy!
425920	427920	Oh my God.
428920	430920	Let's go, Mercy.
433920	440920	I am so nervous for my ASMR stream because I had planned something a bit special for it.
441920	448920	And YouTube are dancing with all of us right now.
448920	451920	Sorry, I'll get over the cutscenes first.
451920	454920	We get to experience being in a navi body for the first time.
454920	462920	If you haven't played, or don't know, you enter a booth which neural links you to a actual navi body.
462920	464920	Don't look too much into it.
464920	467920	It's pretty fantasy based and all that jazz, but yeah.
467920	471920	We are now in navi, we have access to a navi body, but we are still RDA.
471920	473920	RDA is the bad guys.
473920	475920	Boo, boo, RDA.
475920	477920	Navi, yay, navi, yay.
477920	479920	But RDA, boo.
483920	484920	Out you get.
484920	485920	Oh my God, that neck!
485920	487920	Oh, that's killing me.
487920	489920	She looks like a giraffe.
489920	491920	She's like, ooh, let me get over this bed real quick.
491920	495920	You're actually quite good at this.
495920	499920	With my fine tuning, you'll be zipping about with the best.
499920	503920	So we have just been introduced to our avatar body.
503920	505920	Navi body.
505920	507920	RDA mission complete.
507920	511920	So yes, this is a much older game.
511920	515920	You need to find Kensington and help him bring the side gates online.
515920	517920	They just shut down.
517920	519920	So we are about to...
519920	521920	He's ready for you.
521920	523920	He's eager to meet you.
523920	525920	He usually doesn't interact with the avatars.
525920	527920	Hate them.
527920	529920	Folks got a thing against avatars.
529920	531920	Like I said, there's more going on here than you know.
531920	533920	It's good for its age, honestly.
533920	535920	So the newest avatar, I haven't had an...
535920	537920	Oh, Brian!
537920	539920	I'm here to be neural linked with a reefling.
539920	541920	This should cover the copay.
541920	543920	Barrow, thank you for the 20.
543920	545920	Would you guys neural link with me?
545920	547920	Like if you could go to bed, like you see everything from AppioV.
547920	549920	Would that still be in control at that point?
549920	551920	Or would you want to control me?
551920	553920	Or would you want me to control you?
559920	561920	Do you really need to ask?
561920	563920	I don't know if you want to see my appeal with me.
563920	565920	You just like dine and be really disappointed that I don't have big boobs.
565920	567920	Does the nicotine patch interfere with the process?
567920	569920	Nah, you can leave it on.
569920	571920	If anything, it makes it better when you're in control.
571920	573920	I don't know.
573920	575920	Nah, you can leave it on.
575920	577920	If anything, it makes it better when you're in control.
577920	579920	So this is the reason
579920	581920	we are
581920	583920	in Pandora,
583920	585920	the world.
585920	587920	You see those purple things underneath?
587920	589920	Those are the resources
589920	591920	we mine from this planet
591920	593920	for capitalism back on Earth.
593920	595920	It is crazy, honestly.
595920	597920	I get to pray.
597920	599920	Hard to believe you're finally here.
599920	601920	Seems like a lifetime ago.
601920	603920	Reporting for duty, sir.
603920	605920	Drop the formality.
605920	607920	Atonement.
607920	609920	Someone in the avatar program is feeding
609920	611920	classified RDA info to the local
611920	613920	Navi squad.
613920	615920	We've got to have a full scale
615920	617920	made of uprising on our hands.
617920	619920	The resources be purple.
619920	621920	You'll see soon enough.
621920	623920	A big boat better than Big Bois.
623920	625920	Your skills as a towbreaker are highly
625920	627920	underrated on this planet.
627920	629920	We're here to get the blue oil.
629920	631920	Someone say oil.
631920	633920	Oh, they can't use
637920	639920	By the dawn
639920	641920	sparely
641920	643920	Did I tell you
643920	645920	in a voice chat
645920	647920	I sung that but I only know the first two lines
647920	649920	and then
649920	651920	freaking Sheevee and Azura
651920	653920	burst out into singing
653920	655920	the actual thing and I was like
655920	657920	oh my god this is really
657920	659920	I was getting
659920	661920	by the dawn
661920	663920	early
663920	665920	lay
665920	667920	I once
667920	669920	I don't know the words at all
669920	671920	and I don't know why it's so hard.
671920	673920	Why does it go high?
673920	675920	Did you guys see my Twitter post about
675920	677920	how much I got scammed on American sweets?
677920	679920	Hello.
679920	681920	So these are just basic transporters
681920	683920	but as you can see this is the whole map
683920	685920	of Pandora. We will unlock a few more locations soon
685920	687920	but there's not really much detail to it.
687920	689920	We're currently at Hell's Gate.
689920	691920	We are going to get flown to Blue Lagoon
691920	693920	but as you can see this earth
693920	695920	is healthy. There's lots of blues and greens
695920	697920	and all that.
697920	699920	It's a nice healthy earth.
699920	701920	Blue Lagoon.
701920	703920	Open the game, oh that's just a
703920	705920	information thing. I thought I was going to explain
705920	707920	what Blue Lagoon is.
707920	709920	Blue Lagoon is where a lot of the navi
709920	711920	that are controlled by the RDA side hangout
711920	713920	and a few of the tribes are tolerant
713920	715920	to our behaviors.
715920	717920	Our human activities.
717920	719920	You want to see the planet?
719920	721920	This is the safest place to do it.
721920	723920	Yes.
723920	725920	So this is tutorial island essentially.
725920	727920	I thought this game was a fever dream.
727920	729920	It's real.
729920	731920	Hi Stormy. I remember playing this game as a kid.
731920	733920	Congrats you're one of the two people
733920	735920	who have played this game.
735920	737920	That's watching right now.
737920	739920	A very very underground game.
739920	741920	I'll tell you a very fun factoid
741920	743920	about this game.
743920	745920	So obviously I was an Xbox kid.
745920	747920	If you were able to obtain a copy
747920	749920	of the
749920	751920	special
751920	753920	Oh
753920	755920	I
755920	757920	loved that little
757920	759920	animation.
759920	761920	This was probably before
761920	763920	motion capture was even a thing
763920	765920	because what the heck was that?
765920	767920	Our encounter
767920	769920	with Pandora's
769920	771920	wildlife. These are
771920	773920	viper wolves.
773920	775920	They're terrifying.
775920	777920	But their designs
777920	779920	are so good.
779920	781920	The animal designs are freaking amazing.
781920	783920	I am needing to
783920	785920	remember
785920	787920	to analyze.
787920	789920	We have freaking special abilities
789920	791920	for some reason.
791920	793920	I can go and visit and shit
793920	795920	but you can level up and progress
795920	797920	and make these abilities way stronger
797920	799920	and literally it's pretty insane.
799920	801920	The game's got loads of things going for it.
801920	803920	So right now we're just
803920	805920	defending the perimeter
805920	807920	from...
807920	809920	What's the way the game isn't too loud?
809920	811920	I cannot adjust the volume without breaking it.
811920	813920	We're just defending the perimeter from
813920	815920	almost a shot or one guy there.
815920	817920	Is it working?
817920	819920	Okay, there we go.
819920	821920	You do get XP.
821920	823920	There is a level up system in this game as well.
823920	825920	I am so bad at aiming. Holy crap.
825920	827920	It's hard with a child.
827920	829920	Child me is like so much
829920	831920	better gamer.
831920	833920	When it comes to this stuff honestly
833920	835920	Lollipop
835920	837920	model confirms
837920	839920	we're doing some rewards
839920	841920	because actually why am I so much better
841920	843920	at this game? I know they spawn over
843920	845920	there a lot.
845920	847920	Okay, objective complete.
847920	849920	Love to see you play the game
849920	851920	but I will be very happy for
851920	853920	every Navi I see die.
853920	855920	You're joking.
855920	857920	You picked the RDA?
857920	859920	Who are you?
859920	861920	Iron Reaper?
861920	863920	You picked the freaking...
863920	865920	Why would you prick?
865920	867920	I literally just had a Freudian slip and
867920	869920	called you a prick there.
869920	871920	Why would you pick?
871920	873920	Not the Navi.
873920	875920	Thank you for the 50. That's insane.
875920	877920	Thank you for the 50.
877920	879920	But you're wrong.
879920	881920	RDA supremacy.
881920	883920	Reflangs?
883920	885920	We're here for...
885920	887920	We're here for nature
887920	889920	and to be nice to wildlings.
889920	891920	I'm literally a cuttlefish.
891920	893920	Are you saying...
893920	895920	Oh is this Halo Controls?
895920	897920	No, kind of.
897920	899920	You can be attacked when you go out
899920	901920	but I will say one thing
901920	903920	the motion sickness. Merci.
903920	905920	If you're lurking do not watch this.
905920	907920	This motion sickness on the vehicles
907920	909920	is insane. Oh we're doing hit and runs.
909920	911920	Oh right, I missed that but whatever.
911920	913920	I can't remember much.
913920	915920	There is going to be...
915920	917920	This guy should...
917920	919920	There is like aim assist in this game
919920	921920	so if you're bad at video games
921920	923920	please don't worry if you ever
923920	925920	think you might want to
925920	927920	give this game a shot.
927920	929920	This game is giving
929920	931920	commands for keyboard but that's
931920	933920	because...
933920	935920	What?
935920	937920	Wait, wait, wait, four pounds!
937920	939920	Wait, where the heck did it go?
941920	943920	I'm fighting.
943920	945920	Oh, we're going to stick a match to go down.
945920	947920	Oh come on!
947920	949920	You can tell Peel as well which is really good in this game.
949920	951920	This game is definitely for people who
951920	953920	are not very...
953920	955920	I would say if you're new to gaming
955920	957920	the game is very friendly to you.
957920	959920	I say that as I literally am forgetting
959920	961920	all the spawn locations of the enemies right now.
961920	963920	These are...
963920	965920	Viper Wolves.
965920	967920	Um...
967920	969920	Literally waiting till this game
969920	971920	gets so beautiful. I wish...
971920	973920	I don't know what the new avatar game is like
973920	975920	genuinely about. I heard those growls.
975920	977920	I heard that!
977920	979920	I have gamer sense, okay?
979920	981920	Oh, there's another one.
981920	983920	Jeez!
983920	985920	My trigger just got stuck there.
985920	987920	Um...
987920	989920	Are you squidding me right now?
989920	991920	What?
995920	997920	No!
997920	999920	The Navi are the good guys!
999920	1001920	Slice Saber?
1001920	1003920	How dare you?
1003920	1005920	Thank you for the tip.
1005920	1007920	But the Navi are the good guys!
1007920	1009920	We're supposed to protect humanity, okay?
1011920	1013920	Right, so we're currently saving
1013920	1015920	the current signal thing.
1015920	1017920	I don't know.
1017920	1019920	Tutorial...
1019920	1021920	We are doing tutorial, but I'm just spamming through it
1021920	1023920	because I want to be Navi.
1023920	1025920	Dogs.
1027920	1029920	Everyone's literally so beefed up
1029920	1031920	in this game for no reason.
1031920	1033920	Wait, you say Navi's good guys
1033920	1035920	protect humanity.
1035920	1037920	The Navi are the big blue ones.
1037920	1039920	The big blue ones protect
1039920	1041920	nature. We protect nature, okay?
1045920	1047920	We...
1047920	1049920	Wait, hold on, hold on, hold on, you ready for this?
1049920	1051920	We...
1051920	1053920	We protect nature, little reform.
1053920	1055920	We protect nature, little reform.
1055920	1057920	You want to be a good boy for humanity.
1057920	1059920	You want to recycle
1059920	1061920	where physically possible.
1061920	1063920	But we understand...
1063920	1065920	Oh wait.
1065920	1067920	If the RDA are the bad guys,
1067920	1069920	then why are their mechs so cool?
1069920	1071920	Checkmate, tree huggers.
1071920	1073920	Uh...
1073920	1075920	Well, I'm going to show you
1075920	1077920	me absolutely wrecking and fricking decking
1077920	1079920	those mechs.
