start	end	text
0	10060	Tune in right now!
120000	148000	I don't think they're ready, I don't think they know what they're in for.
148000	158000	I don't think they're ready, I don't think they know what they're in for.
178000	188000	Guess what I figured out how to do?
188000	193000	No Muppet, I'm out, good riddance.
193000	204000	If you don't like me at my flesh, my 2D form, you don't deserve my Muppet form.
205000	214000	Hi, my name's C.B. Cottonbump, and I hope you enjoy the stream today.
214000	221000	That's what the megaphone on, though. I can pitch my voice now. Hi.
221000	234000	What's this? Snicks you, grumps you?
234000	241000	Guys, this is a voice reveal, this is my real voice. I'm really sorry. I'm so sorry that I lied to you all these years.
241000	249000	I haven't been around that long, but you know, you get it, but this is me. This is my true self.
249000	254000	But I like how it sounds with the megaphone because I feel like I'm leaving a call.
254000	262000	Like, hey, she can't talk at the phone right now, leave a message after the beep.
262000	274000	Alvin, is that you? I also fixed the peaking, so it shouldn't peak badly.
274000	282000	Mom, I threw up. I need to turn the game sound down for myself. Jesus Christ.
282000	292000	But also... I can't sing. Hold on. Wait, wait, wait.
293000	313000	Jason Derulo. She be Cottonbump.
313000	317000	I'm sorry, I'm a little messing with this so much.
333000	339000	Oh my God. Hold on, let me take that off. All I'm gonna say, I can turn it off.
339000	346000	So there's a giant button that says effects. I didn't know you had to click that in order for the effects to work.
346000	358000	I'm blonde, you see. I'm a little slow, but hopefully the week after next week, I'll try to do a karaoke stream,
358000	361000	because that would be really fun.
367000	371000	Is that mind activated? No. Oh wait, wait, wait, watch.
374000	376000	Hold on, hold on, hold on.
389000	393000	Oh, but now I can, now I can raise you guys up in a dude voice.
393000	399000	Hey, baby girl, what's going on? You wanna come back to my crew later?
403000	406000	I sound like the trivia murderer, but oh my God, you're right.
406000	411000	Now everybody, look at your cards. If you don't, you're going to die.
412000	419000	What's up? My name's Shabroni. I'm an F-boy.
419000	425000	I've been on Love Island, too hot to handle all those shows.
425000	429000	You sound like a guy who has a leftist mother's basement.
429000	433000	Boy, Serpiel, this is me. This is where I really am.
433000	436000	What's that, what's that corp song go like?
437000	439000	Choke me like you hate me, but you love me.
439000	442000	Loki, you wanna date me when you fuck me?
446000	449000	Are you rizzed? Are you feeling rizzed?
452000	456000	And then I can, I can, I just sound weird when it's high pitched.
456000	462000	If I go higher, it sounds even weirder if I do my Ooloo voice with it.
462000	466000	It kind of sounds really cute though, like hi, my name's Shabby Cottonbum.
468000	471000	I know, the voice changes, what do you mean?
473000	477000	I'm going to stomp on you and crush you and then I'm going to beat you up
477000	480000	and you're not going to be able to do anything about it.
480000	484000	How does it feel to be beat up by a younger woman?
484000	487000	Like, yeah, she's trying to sound like Emmy.
488000	493000	Um, if I, if I listened to Emmy's voice, I could probably, oh.
493000	498000	Actually, I sound kind of hot when I use my deeper mommy voice with this.
498000	501000	Hi, how's it going?
503000	512000	If I listened to Emmy's voice, I could probably do it without a voice changer.
512000	516000	Holy crap, I sound like really hot like this, what the hell?
517000	521000	Um, dude, what the hell, I wish this was my normal voice.
525000	529000	Oh, um, it's a combination of my Patreon voice.
532000	536000	Hi, sweetie, how are you doing sweetheart?
537000	541000	Are you behaving like Tara Reid?
542000	548000	Oh my god, this is intense.
548000	550000	Are you blushing?
550000	553000	Oh sweetie, you don't have to blush with me.
555000	557000	Now give us the Patreon voice with a deep voice.
557000	559000	Okay, hold on, hold on, hold on.
560000	562000	Hi honey.
562000	571000	What's the matter sweetheart?
571000	574000	Cat got your tongue?
577000	580000	Is there a problem here, officer?
582000	585000	Aren't I just the woman of your dreams?
585000	589000	Isn't there anything I could do to get out of this ticket?
593000	596000	What?
607000	613000	Um, anyways, I sound like I smoke too many cigarettes.
613000	616000	Oh, what if I sound British when I do this?
617000	619000	Hi, sweetheart, how are you doing?
619000	626000	Oh god, oh no, I don't, guys, I think, I think I'm too hot with this voice.
626000	632000	Oh no, oh my god, I'm actually blushing at my own voice, holy crap.
636000	638000	Oh no, she's hot.
639000	646000	Um, is it obvious that my voice is pitched when you hear it?
646000	648000	Or is it not too obvious?
648000	658000	I can't tell because I can hear my normal voice and then, um, I can hear the other voice.
658000	661000	It sounds a bit pitched, okay.
662000	666000	The roleplay streams are about to go crazy, sweetheart.
667000	672000	Hee hee hoo hoo, I am gonna stomp on you.
672000	674000	Yeah, there's a bit of digital noise.
674000	676000	I can kind of hear that too.
677000	678000	Oh!
678000	680000	Let me see, hold on, hold on, hold on.
680000	683000	Hold on, if I talk deeply, it kind of gets back.
683000	686000	The narrow, what's a narrow pitch?
686000	688000	Narrow, whoa, what the hell?
688000	692000	Holy, what does the gender mean?
692000	695000	What is, there's no, why is there a gender thing?
695000	699000	Medium, wide, wide, wide?
699000	703000	Whoa, okay, and I didn't really do anything.
703000	706000	Whoa, what the, huh?
715000	717000	Oh my god, that's terrifying.
717000	724000	Um, hold on, um, what's the, what is, this is like hard tune on my voice, I think.
724000	726000	This just makes me sound really weird.
727000	732000	Uh, oh, hello, I'm so deep voiced.
732000	735000	Who's the Dommie Mommy now?
737000	738000	Tron?
738000	741000	Like, I'm from Tron.
741000	743000	Speak like a sim with that voice.
744000	746000	Maybe just had a Robo Gas.
746000	748000	Okay, let me take that off.
748000	754000	Uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh, uh.
754000	766000	Okay, I took off, hold on, hold on, and then if I add the pitch a little bit, what if I do it like this?
766000	769000	Uh, uh, I like my beats fast and my bass.
769000	770000	Wait, I don't know how to voice.
770000	773000	Awkward, I'm like why is my voice so high, I sound like Alvin.
773000	775000	Why do you meet?
775000	779000	Christmas, Christmas time is here
779000	783000	Time for fun and time for cheer
783000	788000	And I gotta hope I hope
789000	795000	Ahhhh
795000	798000	Ah
804000	809000	Me, I wanna hope
811000	814000	This is great
814000	821000	I'm having the time of my life, you have no idea.
821000	828000	And I discovered this like five minutes before stream started and I'm like, are you serious?
828000	829000	It was this simple?
829000	834000	I accidentally bumped the FX button and then it immediately changed my pitch and I'm like,
834000	836000	what the heck's going on?
836000	840000	Oh my god, oh my god.
840000	843000	I don't know why it has that little like robot pitch though.
843000	849000	If I put that, that's why I like the megaphone because you can't tell whether the drill thing is there.
849000	852000	So it just sounds, it's not as obvious.
852000	860000	I like the hard tune because then I sound like Jason to roll out, guys.
860000	866000	The next viewer telling me it's gonna be wild.
866000	867000	Which voice is Muppet?
867000	868000	Shebe's cannon voice?
868000	871000	Well, that's just, hi, how's it going?
871000	873000	Hi.
873000	875000	I sound like Alistair.
875000	876000	I never watched Hasbin Hotel.
876000	878000	Is it good?
878000	887000	And sometimes I stay away from stuff because of the crazy fan bases.
887000	888000	British Muppet?
888000	889000	No, I'm not a British Muppet.
889000	893000	When I'm in my Muppet form, she'd be Muppet.
893000	901000	When I'm Shebuppet, I need to think of a better name.
901000	904000	I'm so sorry I burped in autotune.
904000	909000	Muppet voice with the pitch voice.
909000	910000	Oh, hold on.
910000	911000	I got you.
911000	912000	Hold on.
912000	914000	Hi, how's it going?
914000	917000	Oh no, I don't like this at all.
917000	924000	I just sound like Anna Farris or something.
924000	925000	Wait a second.
925000	927000	I almost sound like Niana's.
927000	928000	Hi.
928000	930000	What the hell?
930000	931000	What the fuck?
931000	934000	No, her voice isn't that high.
934000	935000	I bet I can.
935000	938000	Hi, can I sound like her like this?
938000	941000	I'm trying to work on my impressions.
941000	946000	I've been inspired by one of the new talents from...
946000	949000	I need to work on it.
949000	953000	Pitch down Muppet voice.
953000	954000	Whoa.
954000	958000	Hey, how's it going?
958000	962000	I don't think I like this that much.
962000	963000	It's really hard to do.
963000	965000	It sounds really weird.
965000	970000	I kind of sound like Azura.
970000	977000	I think I have to be listening to people's voices so I can do an impression.
977000	979000	Run, run, run, run.
979000	980000	Hold on.
980000	995000	Run, run, run, run, run, run, run, run, run, run, run, run, run, run.
995000	997000	Falco punch.
997000	999000	Sorry.
999000	1000000	Maelind Street.
1000000	1002000	Maelind Street, Maelind Street, Maelind Street.
1002000	1003000	Holy crap.
1003000	1004000	Holy crap, everybody.
1004000	1005000	It's not the drill.
1005000	1006000	It's not the drill.
1006000	1009000	I got it.
1009000	1011000	I think.
1011000	1012000	I think.
1012000	1013000	I think.
1013000	1014000	I think.
1014000	1015000	I think.
1015000	1016000	I think.
1016000	1017000	This would be good.
1017000	1018000	This would be good.
1018000	1019000	For ASMR.
1019000	1028000	Welcome to Shibi's ASMR.
1028000	1038220	The reverb, yeah, I have the echo on.
1038220	1039220	This is reverb.
1039220	1042220	I'll do the reverb.
1042220	1057300	I'm wishing, I'm wishing for the one I love to find me, to find me today.
1057300	1071860	I was thinking something like T-Pain, wait what's a T-Pain song, hold on, hold on, hold
1071860	1076860	on, it's five o'clock, wait, no.
1076860	1102860	I don't know why I'm blanking on T-Pain songs, I don't know why I'm blanking on T-Pain songs.
1102860	1119860	I'mma buy you a drink, ooey, I'mma take you home with me, got money in my bag.
1119860	1145860	I don't know why I'm blanking on T-Pain songs, I don't know why I'm blanking on T-Pain songs.
1145860	1172860	I don't know why I'm blanking on T-Pain songs, I don't know why I'm blanking on T-Pain songs.
1172860	1201860	I don't know why I'm blanking on T-Pain songs, I don't know why I'm blanking on T-Pain songs.
1201860	1230860	I don't know why I'm blanking on T-Pain songs.
1230860	1254860	I don't know why I'm blanking on T-Pain songs.
1254860	1280860	I don't know why I'm blanking on T-Pain songs.
1280860	1304860	I don't know why I'm blanking on T-Pain songs.
1304860	1330860	I don't know why I'm blanking on T-Pain songs.
1330860	1357860	I don't know why I'm blanking on T-Pain songs.
1357860	1385860	I don't know why I'm blanking on T-Pain songs.
1387860	1413860	I don't know why I'm blanking on T-Pain songs.
1413860	1439860	I don't know why I'm blanking on T-Pain songs.
1439860	1468860	I don't know why I'm blanking on T-Pain songs.
1469860	1496860	I don't know why I'm blanking on T-Pain songs.
1496860	1517860	I don't know why I'm blanking on T-Pain songs.
1517860	1544860	I don't know why I'm blanking on T-Pain songs.
1544860	1573860	I don't know why I'm blanking on T-Pain songs.
1574860	1599860	I don't know why I'm blanking on T-Pain songs.
1599860	1628860	I don't know why I'm blanking on T-Pain songs.
1629860	1655860	I don't know why I'm blanking on T-Pain songs.
1655860	1684860	I don't know why I'm blanking on T-Pain songs.
1685860	1711860	I don't know why I'm blanking on T-Pain songs.
1711860	1740860	I don't know why I'm blanking on T-Pain songs.
1741860	1768860	I don't know why I'm blanking on T-Pain songs.
1768860	1795860	I don't know why I'm blanking on T-Pain songs.
1795860	1824860	I don't know why I'm blanking on T-Pain songs.
1825860	1850860	I don't know why I'm blanking on T-Pain songs.
1850860	1877860	I don't know why I'm blanking on T-Pain songs.
1877860	1906860	I don't know why I'm blanking on T-Pain songs.
1906860	1933860	I don't know why I'm blanking on T-Pain songs.
1933860	1962860	I don't know why I'm blanking on T-Pain songs.
1963860	1990860	I don't know why I'm blanking on T-Pain songs.
1990860	2018860	I don't know why I'm blanking on T-Pain songs.
2018860	2047860	I don't know why I'm blanking on T-Pain songs.
2048860	2051860	Give me a nice Mimi song.
2078860	2093860	Give me a nice Mimi song.
2108860	2131860	Take a girl out to dinner first, won't you?
2131860	2160860	I don't know why I'm blanking on T-Pain songs.
2161860	2190860	I don't know why I'm blanking on T-Pain songs.
2191860	2220860	I'm blanking on T-Pain songs.
2221860	2250860	I don't know why I'm blanking on T-Pain songs.
2251860	2280860	I don't know why I'm blanking on T-Pain songs.
2281860	2307860	I don't know why I'm blanking on T-Pain songs.
2307860	2335860	I'm blanking on T-Pain songs.
2337860	2366860	I don't know why I'm blanking on T-Pain songs.
2367860	2396860	I don't know why I'm blanking on T-Pain songs.
2397860	2426860	I don't know why I'm blanking on T-Pain songs.
2427860	2456860	I don't know why I'm blanking on T-Pain songs.
2457860	2486860	I don't know why I'm blanking on T-Pain songs.
2487860	2513860	I don't know why I'm blanking on T-Pain songs.
2513860	2542860	I don't know why I'm blanking on T-Pain songs.
2543860	2572860	I'm blanking on T-Pain songs.
2573860	2602860	I don't know why I'm blanking on T-Pain songs.
2603860	2632860	I know why I'm blanking on T-Pain songs.
2633860	2662860	I don't know why I'm blanking on T-Pain songs.
2663860	2692860	I don't know why I'm blanking on T-Pain songs.
2693860	2722860	I don't know why I'm blanking on T-Pain songs.
2723860	2752860	I don't know why I'm blanking on T-Pain songs.
2753860	2779860	I don't know why I'm blanking on T-Pain songs.
2779860	2808860	I don't know why I'm blanking on T-Pain songs.
2809860	2834860	I don't know why I'm blanking on T-Pain songs.
2834860	2863860	I don't know why I'm blanking on T-Pain songs.
2865860	2889860	I don't know why I'm blanking on T-Pain songs.
2889860	2918860	I don't know why I'm blanking on T-Pain songs.
2919860	2948860	I don't know why I'm blanking on T-Pain songs.
2949860	2978860	I don't know why I'm blanking on T-Pain songs.
2979860	3008860	I don't know why I'm blanking on T-Pain songs.
3009860	3038860	I don't know why I'm blanking on T-Pain songs.
3039860	3066860	I don't know why I'm blanking on T-Pain songs.
3066860	3095860	I don't know why I'm blanking on T-Pain songs.
3096860	3125860	I don't know why I'm blanking on T-Pain songs.
3126860	3153860	I don't know why I'm blanking on T-Pain songs.
3153860	3180860	I don't know why I'm blanking on T-Pain songs.
3180860	3209860	I don't know why I'm blanking on T-Pain songs.
3210860	3237860	I don't know why I'm blanking on T-Pain songs.
3237860	3258860	I don't know why I'm blanking on T-Pain songs.
3258860	3287860	I don't know why I'm blanking on T-Pain songs.
3288860	3317860	I don't know why I'm blanking on T-Pain songs.
3318860	3345860	I don't know why I'm blanking on T-Pain songs.
3345860	3374860	I don't know why I'm blanking on T-Pain songs.
3375860	3403860	I don't know why I'm blanking on T-Pain songs.
3403860	3429860	I don't know why I'm blanking on T-Pain songs.
3429860	3454860	I don't know why I'm blanking on T-Pain songs.
3454860	3483860	I don't know why I'm blanking on T-Pain songs.
3484860	3511860	I don't know why I'm blanking on T-Pain songs.
3511860	3537860	I don't know why I'm blanking on T-Pain songs.
3537860	3564860	I don't know why I'm blanking on T-Pain songs.
3564860	3590860	I don't know why I'm blanking on T-Pain songs.
3590860	3615860	I don't know why I'm blanking on T-Pain songs.
3615860	3640860	I don't know why I'm blanking on T-Pain songs.
3640860	3668860	I don't know why I'm blanking on T-Pain songs.
3668860	3688860	I don't know why I'm blanking on T-Pain songs.
3688860	3717860	I don't know why I'm blanking on T-Pain songs.
3718860	3747860	I don't know why I'm blanking on T-Pain songs.
3747860	3776860	I don't know why I'm blanking on T-Pain songs.
3777860	3804860	I don't know why I'm blanking on T-Pain songs.
3804860	3833860	I don't know why I'm blanking on T-Pain songs.
3834860	3861860	I don't know why I'm blanking on T-Pain songs.
3861860	3890860	I'm blanking on T-Pain songs.
3890860	3917860	I don't know why I'm blanking on T-Pain songs.
3917860	3946860	I don't know why I'm blanking on T-Pain songs.
3947860	3975860	I don't know why I'm blanking on T-Pain songs.
3975860	4004860	I don't know why I'm blanking on T-Pain songs.
4005860	4032860	I don't know why I'm blanking on T-Pain songs.
4032860	4057860	I don't know why I'm blanking on T-Pain songs.
4057860	4086860	I don't know why I'm blanking on T-Pain songs.
4086860	4113860	I'm blanking on T-Pain songs.
4113860	4142860	I'm blanking on T-Pain songs.
4142860	4171860	I don't know why I'm blanking on T-Pain songs.
4172860	4192860	I'm blanking on T-Pain songs.
4192860	4221860	I don't know why I'm blanking on T-Pain songs.
4222860	4251860	I'm blanking on T-Pain songs.
4252860	4271860	I'm blanking on T-Pain songs.
4271860	4300860	I'm blanking on T-Pain songs.
4301860	4330860	I don't know why I'm blanking on T-Pain songs.
4331860	4360860	I don't know why I'm blanking on T-Pain songs.
