start	end	text
0	2800	Oh my gosh.
2800	3960	Hello?
3960	8360	I think, I think we, what happened?
8360	9200	I want it.
9200	12240	Can everyone hear my girls?
12240	13800	Scotland forever.
15440	16280	Oh my gosh.
16280	18440	Hi girls, Mina-san.
18440	19280	Hi.
19280	20760	Hi.
20760	22440	Mina-san, ganky disco.
23400	24240	Ganky disco.
24240	25560	Oh, we're starting already?
25560	27000	Oh my God, that was so fast.
27000	27960	That was so fast.
27960	29280	Wait, what?
29280	30800	My body's not ready.
30800	33800	The lobby's going to close.
33800	34880	Are we all here?
34880	35880	We're here.
35880	36880	Close.
36880	37880	Close.
37880	39640	We should do introductions.
39640	43120	We should do introductions when we get in the room.
43120	44600	We can die.
44600	45600	We can die?
45600	46080	OK.
46080	47480	Let's die together.
47480	48720	I'm very anxious.
48720	49720	Wow.
53200	55400	Oh my gosh, I'm imposter.
55400	57200	That's not how this game works.
59280	60680	Oh my God.
60680	62400	I just thought you guys would like to know.
62400	64200	Let's do our introductions around this round table.
64200	65200	OK, OK.
65200	66200	Great, cool.
66200	67200	Wait, wait, wait.
67200	68480	The round table.
68480	69160	I'm ready.
69160	71000	Each girl, her spotlight should come up here.
71000	71520	OK, OK.
71520	72800	You may plus first.
72800	74600	OK, you may plus.
74600	76000	You may plus go.
76000	76800	I said no.
76800	78440	The other first.
78440	80120	Hi, my name's the most sister, Saki.
80120	82240	And I like strawberries.
82240	83480	Nice to meet you all.
83480	84640	You have a cherry on your head.
84640	86640	Yay.
86640	87880	Shut up, don't talk to me.
87880	89880	Oh, oh.
89880	93880	You could do like that something.
93880	95880	I guess I'm next.
95880	96360	Yeah.
96360	99760	Hello, I'm Rhea Nevermore, and I am the goat girl
99760	102000	of You May Plus First Generation Remedy.
102000	103000	Yay.
103000	105000	Yay.
105000	106000	Wow.
106000	107000	You got that.
107000	108000	Wow.
108000	109000	You're the girl.
109000	110000	Wait, I can't hear them.
110000	111000	Rain, go.
111000	112000	You hear them now?
112000	113000	Oh, shoot, sorry.
113000	114000	I had you guys off on my desktop.
114000	115000	Sorry, hold on.
115000	116000	I'm so dumb.
116000	117000	Damn.
117000	118000	I can't hear them.
118000	119000	We can smell it.
119000	120000	Okay, okay.
120000	121000	Hi me.
121000	122000	Hi me.
122000	123000	I can hear myself.
123000	124000	Who's echoing?
124000	126000	Turn off the damn echo.
126000	128000	Oh my God.
128000	131000	Oh my God, that's so bad.
131000	132000	Hold on, don't laugh.
132000	133000	Yeah.
133000	134000	Yeah.
134000	135000	Like, go.
135000	136000	Scuff scuff.
136000	137000	Scuff scuff.
137000	138000	Scuff scuff.
138000	139000	Scuff scuff.
139000	140000	Scuff scuff.
140000	141000	Oh my God.
141000	142000	The voices.
142000	143000	Scuff scuff.
143000	144000	Scuff scuff.
144000	145000	Scuff scuff.
145000	146000	Scuff scuff.
146000	148000	You're even actually just telling me.
148000	150000	Just get it, just get it, just get it.
150000	152000	Just get it, just get it.
152000	154000	Can you please fix it?
154000	156000	Like that's just crazy.
156000	160000	Oh wait, that was my laugh.
160000	162000	Can you still hear it?
162000	164000	Or is it gone?
164000	166000	I can hear it, yeah.
166000	168000	No, it sounds fine, sorry.
168000	170000	It's good, you're fine.
170000	172000	Girl, how loud do you have your head set?
172000	174000	Me?
174000	176000	Yes, yes.
176000	178000	Sorry.
178000	180000	Wait, I fixed it, I fixed it, I fixed it.
180000	182000	I did.
182000	184000	Oh my God, I had it turned down.
184000	186000	Oh my God.
188000	192000	Welcome to the Via Lour and Yuma Plus Collab
192000	194000	where we are scuffed even through the beginning,
194000	196000	even though we met an hour before
196000	198000	and set this all up.
198000	200000	It was more than an hour.
200000	202000	It's giving poopy.
203000	205000	Speaking of poopy, let me go.
213000	215000	Alright poopy, take it away.
215000	218000	Take it away, take it away.
218000	223000	Hi me, I am Yuma Plus Special Generation Remedy.
223000	226000	I'm a virtual playing doctor, nice to meet you.
226000	228000	Yeah, nice to meet you.
228000	230000	Hi.
230000	232000	Why do I feel like I'm an alcohol synonymous?
232000	234000	Oh.
234000	236000	Here we go again.
236000	239000	I'm rain and I'm the problem.
239000	241000	Oh, okay.
247000	248000	Okay.
248000	250000	But like seriously, who are you?
250000	252000	Now for Via Lour.
252000	254000	Hey, I'm Sterani, I'm Scottish.
254000	256000	You can't mix my voice up with anyone in this lobby
256000	258000	and I will not tolerate otherwise, thank you.
258000	260000	Yeah, Sterani.
260000	262000	Yay.
262000	264000	Yay.
264000	266000	Okay, I'll go.
266000	268000	Hello, my name is Mercy MoDeece from Via Lour,
268000	270000	gen one in gold.
270000	272000	In gold.
272000	274000	Yay, nice to meet you.
274000	276000	Woo, woo, woo, woo, woo.
276000	278000	That's it.
278000	280000	Lour, I'll go.
280000	282000	I'm a Lour Delay
282000	284000	from gen one in gold.
284000	286000	I'll be a lour.
286000	288000	Yay.
288000	290000	Nice to meet you, mommy.
290000	292000	Yay.
294000	296000	What's up?
296000	298000	I'm Sheezy Cottonbum, but you can call me
298000	300000	anytime.
300000	302000	Yay.
302000	304000	That was lit.
304000	306000	That was lit.
306000	308000	Okay.
308000	310000	Okay, now that introductions are done.
310000	312000	Wait, is introductions done?
312000	314000	Yeah, can we kill each other now?
314000	316000	Yeah, get out.
316000	318000	Bye.
318000	320000	Screw you guys.
320000	322000	I'm off to do the freaking alien thing.
322000	324000	No, I'm not.
326000	328000	Are you upset?
328000	330000	Did you hear?
330000	332000	Oh my god, she's good.
332000	334000	I need to do
334000	336000	the garbage shoot.
336000	338000	Hold on.
338000	340000	Are you guys okay?
340000	342000	You know, it's yourself, man.
342000	344000	I need the garbage.
344000	346000	Do you want to go do the
346000	348000	cars with me?
348000	350000	Three, two, one,
350000	352000	go!
354000	356000	Who's dead?
356000	358000	Can you hear them now?
358000	360000	It was Amy.
360000	362000	It was Amy.
362000	364000	Oh my gosh.
364000	366000	Amy's at the garbage shoot.
366000	368000	Amy's at the garbage shoot.
368000	370000	I literally just saw her.
370000	372000	I just came from communication.
372000	374000	And Amy is
374000	376000	standing over the body of rain.
376000	378000	Holy crap.
378000	380000	Holy crap.
380000	382000	No, don't even fucking lie.
382000	384000	I'm sorry, but you're into...
384000	386000	You didn't. Is that the best shot?
386000	388000	Sorry, if that's the best you've got.
388000	390000	That's the best you've got.
390000	392000	I walked in on it.
392000	394000	It's literally
394000	396000	Amy.
396000	398000	It's the Sonic Heroes.
398000	400000	Fucking Shadow Roleplayer.
400000	402000	Yeah, okay.
402000	404000	The only guilty thing I have
404000	406000	to admit is that I like Shadow,
406000	408000	but I didn't. I didn't do this.
408000	410000	I promise.
410000	412000	Can Strony set you up?
412000	414000	Yeah, absolutely.
414000	416000	Set you up? Are you fucking having a laugh?
416000	418000	Amy, are you joking?
418000	420000	I was literally at the gas canister
420000	422000	watching you as you got pulled over
422000	424000	and then fucking sniped
424000	426000	rain in half.
426000	428000	It's like left behind.
428000	430000	I'm sorry, but that was a cure...
430000	432000	Open up my stream.
432000	434000	Open up my stream right now.
434000	436000	I'm not being gas-lipped
436000	438000	by a Sonic...
438000	440000	a freaking Shadow the Hedgehog streamer
440000	442000	right now.
442000	444000	I am not being gas-lipped
444000	446000	by a Sonic the Hedgehog
446000	448000	stand.
448000	450000	You're getting done.
450000	452000	I will say that I did see
452000	454000	Amy stand over the body.
454000	456000	Amy immediately just being like
456000	458000	fuck you now, that's not fair.
458000	460000	I didn't do this.
460000	462000	I'm sorry, but you seem
462000	464000	suspicious.
464000	466000	Right now, believe me, my baby girl,
466000	468000	I would never, I would never
468000	470000	have to fly.
470000	472000	If it's not Amy, I'm voting
472000	474000	for Strony next round.
474000	476000	Wait, why am I getting in trouble?
476000	478000	Obviously, it's going to say imposter.
478000	480000	You're so passionate.
480000	482000	You're actually welcome for doing half of the work.
482000	484000	I'll go find the other imposter while you're at it.
484000	486000	I'll do it. I'll try my best.
486000	488000	Damn, Strony, I fucking love you.
490000	492000	Pigeonino?
492000	494000	I've heard the tune, but you don't give a damn.
494000	496000	See you in death, baby girl.
496000	498000	Wait, what?
506000	508000	Wait, you didn't do it!
508000	510000	You didn't do it!
510000	512000	Wait, she didn't do it!
512000	514000	Mother.
514000	516000	Mother.
516000	518000	Wait, wait, Mercy,
518000	520000	Mercy said she saw it.
520000	522000	Mercy reported.
522000	524000	I walked in.
524000	526000	I walked in.
526000	528000	I don't know about this.
528000	530000	What?
530000	532000	What? I just walked in.
532000	534000	I'm going to go do my shit.
