start	end	text
120000	122000	You
150000	152000	You
180000	182000	You
210000	212000	You
240000	242000	You
270000	272000	You
300000	302000	You
330000	350000	You
360000	376000	You
390000	416000	You
416000	442000	You
442000	462000	You
462000	464000	You
464000	484000	You
484000	512000	You
512000	538000	You
538000	558000	You
558000	584000	You
584000	610000	You
610000	636000	You
636000	658000	You
658000	682000	You
682000	702000	You
702000	728000	You
728000	748000	You
748000	774000	You
774000	794000	You
794000	814000	You
814000	840000	You
840000	866000	You
866000	886000	You
886000	906000	You
906000	932000	You
932000	958000	You
958000	978000	You
978000	998000	You
998000	1018000	You
1018000	1044000	You
1044000	1070000	You
1070000	1096000	You
1096000	1122000	You
1122000	1148000	You
1148000	1168000	You
1168000	1196000	You
1196000	1222000	You
1222000	1242000	You
1242000	1268000	You
1268000	1294000	You
1294000	1320000	You
1320000	1346000	You
1346000	1366000	You
1366000	1386000	You
1386000	1406000	You
1406000	1432000	You
1432000	1458000	You
1458000	1484000	You
1484000	1510000	You
1510000	1536000	You
1536000	1562000	You
1562000	1582000	You
1582000	1604000	You
1604000	1630000	You
1630000	1650000	You
1650000	1676000	You
1676000	1702000	You
1702000	1722000	You
1722000	1748000	You
1748000	1774000	You
1774000	1790000	You
1790000	1802000	You
1802000	1822000	You
1822000	1842000	You
1842000	1868000	You
1868000	1894000	You
1894000	1910000	You
1910000	1922000	You
1922000	1942000	You
1942000	1944000	You
1944000	1960000	You
1960000	1972000	You
1972000	1988000	You
1988000	2000000	You
2000000	2016000	You
2016000	2028000	You
2028000	2044000	You
2044000	2056000	You
2056000	2066000	You
2066000	2076000	You
2076000	2084000	You
2084000	2104000	You
2104000	2112000	You
2112000	2132000	You
2132000	2140000	You
2140000	2150000	You
2150000	2160000	You
2160000	2180000	You
2180000	2188000	You
2188000	2204000	You
2204000	2216000	You
2216000	2226000	You
2226000	2236000	You
2236000	2264000	You
2264000	2284000	You
2284000	2292000	You
2292000	2302000	You
2302000	2312000	You
2312000	2332000	You
2332000	2340000	You
2340000	2350000	You
2350000	2360000	You
2360000	2370000	You
2370000	2388000	You
2388000	2408000	You
2408000	2416000	You
2416000	2426000	You
2426000	2436000	You
2436000	2446000	You
2446000	2456000	You
2456000	2466000	You
2466000	2476000	You
2476000	2486000	You
2486000	2504000	You
2504000	2514000	You
2514000	2524000	You
2524000	2532000	You
2532000	2542000	You
2542000	2552000	You
2552000	2560000	You
2560000	2570000	You
2570000	2580000	You
2580000	2588000	You
2588000	2598000	You
2598000	2608000	You
2608000	2616000	You
2616000	2626000	You
2626000	2644000	You
2644000	2654000	You
2654000	2672000	You
2672000	2692000	You
2692000	2700000	You
2700000	2710000	You
2710000	2728000	You
2728000	2738000	You
2738000	2748000	You
2748000	2776000	You
2776000	2796000	You
2796000	2804000	You
2804000	2814000	You
2814000	2832000	You
2832000	2842000	You
2842000	2852000	You
2852000	2862000	You
2862000	2872000	You
2872000	2882000	You
2882000	2892000	You
2892000	2902000	You
2902000	2912000	You
2912000	2920000	You
2920000	2930000	You
2930000	2940000	You
2940000	2948000	You
2948000	2958000	You
2958000	2968000	You
2968000	2976000	You
2976000	2986000	You
2986000	2996000	You
2996000	3006000	You
3006000	3016000	You
3016000	3026000	You
3026000	3044000	You
3044000	3054000	You
3054000	3064000	You
3064000	3074000	You
3074000	3092000	You
3092000	3102000	You
3102000	3112000	You
3112000	3122000	You
3122000	3132000	You
3132000	3152000	You
3152000	3160000	You
3160000	3170000	You
3170000	3180000	You
3180000	3188000	You
3188000	3198000	You
3198000	3208000	You
3208000	3218000	You
3218000	3236000	You
3236000	3246000	You
3246000	3256000	You
3256000	3266000	You
3266000	3276000	You
3276000	3286000	You
3286000	3304000	You
3304000	3314000	You
3314000	3332000	You
3332000	3342000	You
3342000	3352000	You
3352000	3360000	You
3360000	3370000	You
3370000	3380000	You
3380000	3388000	You
3388000	3398000	You
3398000	3408000	You
3408000	3418000	You
3418000	3428000	You
3428000	3438000	You
3438000	3456000	You
3456000	3466000	You
3466000	3476000	You
3476000	3484000	You
3484000	3494000	You
3494000	3504000	You
3504000	3512000	You
3512000	3522000	You
3522000	3540000	You
3540000	3550000	You
3550000	3568000	You
3568000	3578000	You
3578000	3588000	You
3588000	3596000	You
3596000	3606000	You
3606000	3616000	You
3616000	3626000	You
3626000	3636000	You
3636000	3646000	You
3646000	3656000	You
3656000	3666000	You
3666000	3676000	You
