start	end	text
0	17240	I was trying to speedrun up in the stream started and the game.
17240	23720	This game crashes so heckin' easily and it literally just crashed there.
23720	24720	Praying it works.
25720	26720	Praying it works.
26720	29720	But good morning, good evening, and good afternoon.
29720	34720	Oui, today my screen has gone black so hopefully I'm still streaming.
34720	36720	Oh my god.
36720	39720	Right, this game breaks.
39720	41720	Oh, I think it's about to break again.
41720	42720	No way.
43720	45720	Oh, this game breaks so easily.
47720	48720	Oh, don't break, don't break.
48720	50720	Oh, my screen's black again.
51720	52720	What?
53720	57720	This game breaks so easily.
57720	62720	I think this is like 2007 maybe?
62720	64720	But goodness me.
65720	67720	Good morning, good evening, good afternoon.
67720	72720	Oui, we are playing yet again, surprise surprise, another childhood game.
72720	73720	Wait, what?
73720	75720	Oh, it's 2009.
75720	79720	It says James Cameron's Avatar game 2009.
79720	92720	So I played this game as a little sheriff and is there a girl that's white with black hair?
92720	95720	Well, I'm not blonde.
97720	98720	I'm not.
99720	100720	Well, we just did that.
100720	102720	Right, we're blonde with green eyes today.
102720	103720	Yippee.
105720	106720	So this game.
106720	109720	Okay, now let's enter first name.
109720	110720	Squiddles.
113720	114720	Squiddly.
114720	116720	I'm feeling a bit squiddly-diddly the day about.
116720	118720	I bet you'd like that, wouldn't you?
119720	121720	I had no idea they even released the game back then.
121720	126720	Oh, this game is, I wrote.
126720	132720	I'll shush until the campaign part, but they much to the campaign.
132720	134720	Let me, it got slapped together.
134720	135720	Let me tell you that much.
135720	137720	I got slapped together.
143720	147720	So I am a big enthusiast of Avatar.
147720	151720	I absolutely enjoy the movies to the highest of heavens.
152720	153720	Cut.
156720	159720	Oh my God, I've not played this in years.
163720	165720	Oh, look, it's us.
165720	167720	Sigourney Weaver.
175720	177720	Big Sigourney Weaver, where you been?
177720	179720	We've missed you, Sigourney.
182720	184720	Don't screw up.
184720	185720	Got it.
187720	190720	This has not stood up to the test of time, graphics-wise.
190720	192720	My neck be bending.
192720	195720	My armpit textures are warped.
197720	199720	Oh, AC and Snow Berries.
199720	200720	Hi.
200720	202720	How was your puzzle game, AC?
202720	203720	I watched you in the bath.
203720	205720	Oh, this is really weird.
205720	209720	I was in the bath and I was like, I'm sure AC should be on right now.
209720	213720	And I opened up the game and you were like, this is a child's game.
213720	215720	How can I do this?
215720	217720	I thought I could do this because I think someone said,
217720	219720	why did you pick this game first?
222720	224720	Snow Berry Raid.
226720	230720	Yeah, there was like a big whale with loads of ropes all over it.
230720	233720	And I was like, I've never seen this game in my life.
233720	234720	I'm too dumb.
234720	235720	Did you not finish it?
235720	238720	Was it like a finished game or was it like one of those ones where it's like,
238720	240720	you just play for fun?
241720	243720	Is Sheevee's fault?
243720	245720	Sheevee, what did you do?
245720	246720	She put the ropes in.
246720	247720	Oh, that's very good.
247720	248720	Oh, you finished it.
248720	249720	Let's go.
249720	250720	AC Smart.
250720	251720	AC Smart.
251720	252720	AC Smart.
252720	254720	Hell's Gate.
258720	260720	Kendra.
260720	263720	Congrats if your name's Kendra.
263720	266720	Okay, so we are playing an RDA soldier.
266720	267720	Boots on the ground.
267720	270720	We are a signal specialist, okay?
270720	272720	We've just arrived at Hell's Gate,
272720	280720	which is where the humans have landed on the Navi's home planet, basically.
280720	288720	And the way that we humans survive is by sectioning off areas of Pandora,
288720	292720	because Pandora is so aggressive and dangerous.
296720	297720	Wendy, yes.
297720	299720	The big blue ladies.
299720	300720	Soon, soon.
300720	302720	Hold on, hold on.
308720	310720	You've never seen the movie before?
312720	313720	Okay.
317720	319720	How do you even summarize Avatar?
320720	322720	Just watch yourself around, Dr. Monroe.
322720	326720	He treats the avatars like his own personal guinea pigs.
326720	328720	This is a very old game,
328720	332720	and it is not a fair, like, assessment of what this game's about.
332720	333720	However.
333720	335720	However, however, however.
335720	337720	Too long didn't read.
337720	339720	Blue people good?
