start	end	text
0	8160	Maybe you want it you want you want some mall ambiance?
8160	9160	I got some.
9160	12400	I don't know if that'll get like copyrighted.
12400	14720	It's straight off YouTube.
14720	16720	YouTube hates me.
16720	18720	Hold on.
18720	21720	I'll show you what I what I like the most about YouTube.
21720	22720	The mall ambiance.
22720	23720	Please do.
23720	24720	We're live by the way.
24720	25720	Hello.
25720	40720	We got this.
40720	43720	She be caught in scuff that that is that's me.
43720	44720	I'm me.
44720	45720	I'm me a girl.
45720	46720	Oh my god.
46720	47720	I can hear myself.
47720	48720	Oh god.
48720	49720	Damn.
49720	50720	I hate when I do that.
50720	52720	Hello everybody.
52720	54720	My name is she be caught in bum.
54720	59720	And today we are joined by the lovely trinket trinket.
59720	62720	Why don't you go ahead and introduce yourself.
62720	66720	Why hello harem.
66720	67720	I'm trinket.
67720	69720	I'm your dog in law.
69720	74720	Or I guess your step dog depending on how you want to view me.
74720	79720	And I'm here to hang out with madam chibi today.
79720	84720	And we're going to see what Pokemon are smashable and what are passable.
84720	86720	Heck yeah we are.
86720	89720	Me and trinket go way back.
89720	95720	We met back in Hollywood as a trinket is a amazing actress.
95720	100720	It was it was an amazing time back then you know.
100720	101720	Early.
101720	103720	Thank you.
103720	104720	I miss you so much.
104720	108720	It's literally been years since I've seen you last.
108720	109720	I know.
109720	113720	I heard that you had gotten an office job girlfriend.
113720	117720	And I blew it off like they weren't paying me enough at this office job.
117720	122720	So I took this gig being a being a madam.
122720	124720	I mean a hotel manager.
124720	131720	And yeah I just like to broadcast my what I'm what I'm up to.
131720	132720	Lucky.
132720	137720	I'm still in that I'm still in that really weird phase where I'm looking for that perfect
137720	138720	role.
138720	144720	Are we all are we all still searching for that one perfect role.
144720	146720	Absolutely.
146720	149720	But trinkets information is in my description.
149720	152720	If you want to go check her out please do.
152720	155720	If you don't I will fight.
155720	156720	Thank you all.
156720	160720	I'm currently trying to add my background music.
160720	163720	I feel like I should drink for this.
164720	170720	I picked up vodka soda and a sangria.
170720	172720	Oh OK.
172720	173720	I didn't know.
173720	175720	I didn't know if you'd want it that.
175720	178720	So I haven't opened either one yet.
178720	179720	Okay.
179720	180720	Damn.
180720	183720	I might have to find something to drink.
183720	189720	I saw like a bottle of Tito's next to me but I don't want to freaking die.
190720	192720	Tito's is like that's.
192720	194720	Oh I know what that is at vodka.
194720	195720	Yeah Tito's vodka.
195720	196720	Yeah.
196720	198720	I do like mixing that with stuff.
198720	199720	Yes.
199720	200720	It's a good.
200720	201720	I don't have anything to mix it with.
201720	204720	I would have to just drink it straight.
204720	205720	Oh no.
205720	207720	That's like drinking tequila straight.
207720	208720	Yeah.
208720	213720	It was I did that the other day as you know doing bunny garden and I almost died.
213720	214720	Of course.
214720	215720	Of course.
215720	217720	Let me I'm going to put a little thing.
217720	224720	I'm going to get a read like donuts and stuff and super chats at the end just so we can
224720	229720	be a little focused and not ruin the flow of such things.
229720	230720	Okay.
230720	231720	Of course.
231720	236720	I'm going to crack this bad boy open.
236720	239720	Ooh.
239720	246720	I would have I would have put it closer but I figure I'll leave I'll leave that to you.
246720	247720	The asthma to me.
247720	253720	I'm accidentally poor Bulbasaur around.
253720	258720	I was like so before this out like Tom and I was like cleaning my house and I was so
258720	264720	into like the music I was listening to and then I really had to pee and then it turned
264720	269720	into something else and so that's why I'm a little late.
269720	270720	Yeah.
270720	271720	She was telling me about that.
271720	275720	What song are you listening to that really got you grooving probably.
276720	277720	Probably.
277720	283720	I was feeling a little funky by the end because I was listening to the weekend out of time
283720	288720	but the Katronata remix and it's like very like 70s funky.
288720	290720	So pretty pretty good.
290720	291720	I like that a lot.
291720	294720	Actually I've been listening to a lot of Chaperon.
294720	296720	Oh, I need to start listening to her.
296720	299720	I heard she's been popping off.
299720	302720	I like her tone her sound.
302720	305720	It sounds very retro but new.
305720	314720	Yeah, I feel I kind of like the old retro-y sounds like I feel like the 70s 70 core pop
314720	320720	music is really catchy and I'm just like I just want to slowly groove and shake my butt
320720	326720	and I'm just like I know I want to insert it into my veins and just see the colors of
326720	329720	like it's vaporwave everywhere.
329720	332720	Like a drug.
333720	336720	That would actually be you know pretty funky.
336720	340720	I feel like that's just like mushrooms or LSD.
341720	346720	Man, if only, if only.
348720	352720	Oh, I may look a little bit different to some of you.
352720	355720	YouTube has come for my throat.
355720	360720	So I have to wear this cover up and I think it's pretty good.
360720	365720	It's literally just a standard YouTube studio asset.
365720	367720	It's a Lucy.
367720	368720	Yeah.
368720	373720	And Astrodia was just like they're really, they're really shitting on you right now.
373720	375720	And I'm like, okay, I'll cover myself up.
375720	379720	So that's why you'll see like alternative thumbnails that I've been editing.
379720	383720	And that I'm hiding my boob crack.
383720	384720	So, but yeah.
384720	386720	You know what you could get eventually, right?
386720	387720	What?
387720	390720	You could just get a button up shirt and just have it pop a button.
390720	394720	I'm kind of hoping for that.
394720	403720	I know my manager team is talking to our rigor and artists and asked if they could like to
403720	408720	button my shirt, but they have to do a whole new layer because the shirt is like not separated
408720	410720	to the jacket.
410720	416720	So it's like, we'll probably have to redo my whole top half.
416720	417720	Like I have a base though.
417720	420720	So it's like, it shouldn't be too hard, but it's extra work.
420720	427720	I also want to be able to toggle off and on my ropes because I look like a dominatrix 24 seven,
427720	431720	which is like, you know, I do have my off days.
431720	433720	I'm not, I'm not, I got to work.
433720	436720	Not always pleasure, but you know, it's fun to mix both.
436720	437720	Thank you for the rage, Johnny.
437720	438720	Hello.
438720	440720	Hello, I was just talking about you.
440720	444720	Do you like my cover up?
